years hunting,years hunted last 5,antlered harvest,antlerless harvest,land,land fee,trail cameras,hunt other states,which other state,archery bear,I hunt with the goal of harvesting an antlered deer only.,I do not care if I harvest an antlered or antlerless deer  as long as I get a deer.,archery hunt,archery wmu,archery days,archery antlered harvest,archery antlerless harvest,archery land,archery weapon,archery hunting camp,archery portable treestand,archery permanent treestand,archery urine lure,archery live in wmu,archery miles travelled,hunt opening day,firearm wmu,firearm antlered harvest,firearm antlerless harvest,days scouting,firearm land,Muzzleloader days,archery flintlock days,1st monday,1st tuesday,1st wednesday,1st thursday,1st friday,1st saturday,2nd monday,2nd tuesday,2nd wednesday,2nd thursday,2nd friday,2nd saturday,firearm hunting camp,firearm portable treestand,firearm permanent treestand,firearm urine lure,deer drive,firearm live in wmu,firearm miles travelled,age began,education,current home,start home,mentor,health,archery num,Base Hunting License,Resident Archery,Resident Muzzleloader,Non-resident Archery,Non-resident Muzzleloader,No. Antls Licenses - Resident,No. Antls Licenses - Resident Landowner,No. Antls Licenses for Special Regulations - Resident,No. Antls Licenses - Resident Military,No. Antls Licenses - Resident Disabled Vet,Priv 605,Priv 606,No. Antls Licenses - Non-resident,No. Antls Licenses - Non-resident Landowner,No. DMAP Permits - Resident,No. DMAP Permits - Non-resident,No. DMAP Permit - Resident,No. DMAP Permit - Non-resident
56,5,No,0,private,No,2,No,,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,5,private,0,0,Monday,Tuesday,Wednesday,,,Saturday,Monday,,,,,Saturday,Yes,No,Yes,No,No,Yes,8,14,High school or less,Country/rural,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
47,5,Yes,0,both,No,0,No,,No,Agree,Neither Agree nor Disagree,Yes,2C,More than 15 days,Yes,0,both,vertical bow.,No,Yes,No,No,Yes,15,No,2C,No,0,8,both,0,3,,,,,,,Monday,Tuesday,,,,Saturday,No,No,No,No,No,Yes,15,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),20,Resident Adult,Yes,,,,1,,,,,,,,,,,,
48,5,No,0,public,No,0,No,,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,2,public,0,0,Monday,Tuesday,,,Friday,Saturday,,,,,,Saturday,Yes,No,No,No,Yes,No,70,16,Some college/vocational training,Suburban,Rural town/village,Friend,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
18,5,Yes,0,public,No,1,No,,No,Neither Agree nor Disagree,Strongly Agree,Yes,2B,6-10 days,Yes,0,public,vertical bow.,No,Yes,Yes,No,Yes,1,No,2C,No,0,0,private,0,0,,,,,,,,,,,,,Yes,No,No,No,Yes,No,30,12,Some college/vocational training,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),8,Resident Adult,,,,,,,,,,,,,,,,,
31,5,Yes,2,private,No,0,No,,No,,Strongly Agree,Yes,2C,11-15 days,No,0,private,crossbow,No,No,No,No,Yes,4,Yes,2C,Yes,2,20,private,3,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,No,No,No,Yes,4,12,Some college/vocational training,Country/rural,County/rural,Relative,Good (minor health problems or injuries),13,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
31,5,No,0,public,No,0,No,,No,Disagree,Disagree,No,,,,,,,,,,,,,No,2C,No,0,10,public,0,0,,,,,,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,,No,No,No,No,No,No,45,16,College graduate,Suburban,County/rural,Relative,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,,,,1,,,,,,,,,,,,
46,5,No,0,both,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,60,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,Yes,No,Yes,No,No,64,16,College graduate,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,Yes,,,,,,,,,,,,,,,,
40,5,No,0,public,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,30,public,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,Saturday,No,No,No,No,Yes,No,10,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
30,5,No,0,public,No,1,Yes,OH,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,public,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,No,205,18,College graduate,Rural town/village,Rural town/village,No one,Good (minor health problems or injuries),,Non-Resident Adult,,,,,,,,,,,,,,,,,
16,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Agree,Yes,2C,More than 15 days,No,0,both,vertical bow.,No,Yes,Yes,Yes,Yes,,Yes,2C,No,0,14,both,0,10,Monday,Tuesday,Wednesday,,,Saturday,,,,,,Saturday,No,Yes,Yes,Yes,No,Yes,6,14,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),20,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
50,5,No,0,public,No,0,No,,No,Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,public,0,0,Monday,Tuesday,,,Friday,Saturday,,,,Thursday,Friday,Saturday,No,No,No,No,No,No,20,12,High school or less,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
30,4,No,0,private,No,1,No,,No,Strongly Disagree,Agree,No,,,,,,,,,,,,,No,2C,No,0,0,private,0,0,,,,,,,,,,,,,No,No,Yes,No,No,No,0,,High school or less,Rural town/village,County/rural,Parent or Grandparent,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
30,3,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,No,2C,No,0,2,public,0,5,,,Wednesday,Thursday,Friday,,,,,,Friday,,No,No,No,No,No,Yes,20,12,College graduate,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,Yes,,,,,,,,,,,,,,,
65,5,No,0,private,No,0,Yes,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,0,private,0,0,Monday,Tuesday,,,,Saturday,Monday,,,,Friday,Saturday,No,No,No,No,No,No,10,9,High school or less,Rural town/village,County/rural,Other adult,Good (minor health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
55,5,No,1,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,1,2,private,0,5,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,1,15,College graduate,Country/rural,County/rural,Other adult,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,Yes,,,1,,,,,,,,,,,,
11,5,No,0,public,No,1,No,,No,Disagree,Agree,No,,,,,,,,,,,,,No,2C,No,0,15,public,0,0,,,,Thursday,Friday,Saturday,,,,Thursday,Friday,Saturday,No,Yes,No,Yes,No,Yes,30,13,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
53,5,No,0,private,No,0,No,,No,Agree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,5,private,0,0,Monday,Tuesday,,,Friday,Saturday,,,,,,,No,No,No,No,No,Yes,0,22,Some college/vocational training,Country/rural,City,Relative,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,,,,,,,,,,,,,
47,5,No,0,private,No,1,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,More than 15 days,No,0,private,crossbow,No,No,No,No,Yes,1,No,2C,No,0,20,private,0,0,,,,,,Saturday,,,,,,Saturday,No,No,No,No,Yes,Yes,25,12,Some college/vocational training,Country/rural,County/rural,Friend,Good (minor health problems or injuries),20,Resident Adult,,,,,,,,,,,,,,,,,
3,2,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,No,2C,No,0,0,private,0,0,,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,Yes,No,No,No,Yes,8,15,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,Yes,,,,1,,,,,,,,,,,,
49,5,No,0,private,No,0,No,,No,Agree,Agree,Yes,2C,6-10 days,No,0,private,vertical bow.,No,No,Yes,No,No,24,Yes,2C,No,0,0,private,0,4,Monday,Tuesday,Wednesday,,,,,,Wednesday,,,Saturday,No,No,Yes,No,No,No,24,12,Some college/vocational training,Suburban,Suburban,Relative,Good (minor health problems or injuries),8,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
43,5,No,0,public,No,0,No,,No,Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,25,both,0,12,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,25,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Adult,,Yes,,,,,,,,,,,,,,,
7,5,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,private,0,0,Monday,,,,,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,10,16,Some college/vocational training,Country/rural,County/rural,Other adult,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
46,5,No,0,both,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,10,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,Yes,No,Yes,10,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Adult,,,,,,,,,,,,,,,,,
4,3,No,0,public,No,0,No,,No,Disagree,Strongly Agree,Yes,2C,,No,0,public,both,No,No,No,Yes,Yes,5,Yes,2C,,0,2,public,5,0,,,,,Friday,Saturday,,,,,Friday,Saturday,No,No,No,Yes,No,Yes,5,14,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Junior,,,,,1,,,,,,,,,,,,
45,5,No,0,private,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,3,private,0,0,Monday,Tuesday,Wednesday,,,Saturday,,,,,,Saturday,No,Yes,Yes,No,No,No,140,13,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
30,5,No,0,public,No,0,Yes,KY,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,2,public,0,0,Monday,Tuesday,Wednesday,,,,,,,,,,Yes,No,No,Yes,No,No,400,16,Some college/vocational training,Country/rural,County/rural,Friend,Poor (significant health problems or injuries that affect my daily life and mobility),,Non-Resident Adult,,,,,,,,,,,,,,,,,
35,5,No,0,private,No,0,No,,No,Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,2,private,0,0,Monday,Tuesday,,,,,,,,,,,Yes,No,Yes,No,No,No,125,20,High school or less,Country/rural,County/rural,Friend,Excellent (no health problems or injuries),,Resident Adult,Yes,,,,,,,,,,,,,,,,
20,5,No,1,private,No,0,No,,No,Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,Yes,1,2,private,0,0,Monday,,Wednesday,,,,Monday,,,,,,No,No,No,No,No,Yes,8,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
1,1,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,private,0,0,,,,,,Saturday,,,,,,Saturday,No,No,No,No,Yes,Yes,0,13,High school or less,Rural town/village,Rural town/village,Relative,Excellent (no health problems or injuries),,Resident Junior,,,,,1,,,,,,,,,,,,
35,5,No,0,private,No,2,No,,No,Agree,Agree,No,,,,,,,,,,,,,Yes,2C,Yes,8,1,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,Yes,No,No,Yes,0,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
46,5,No,0,public,No,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,Yes,15,0,public,0,0,Monday,Tuesday,Wednesday,,,Saturday,,,,,Friday,Saturday,Yes,No,No,No,No,No,130,16,High school or less,Suburban,County/rural,Relative,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
22,2,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,14,private,0,0,Monday,,,,,,Monday,,,,,,No,No,No,No,No,Yes,10,12,College graduate,Country/rural,County/rural,Relative,Good (minor health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
53,5,No,1,private,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,Yes,2C,11-15 days,No,0,private,crossbow,No,No,No,No,Yes,10,Yes,2C,No,1,20,private,0,5,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,10,11,High school or less,Country/rural,County/rural,Relative,Fair (some health problems or injuries that affect my daily life and mobility),13,Resident Adult,Yes,,,,1,,,,,,,,,2,,,
20,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,both,0,0,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,Yes,Yes,0,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
7,5,No,1,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,Yes,[Select the WMU],3-5 days,No,0,both,both,No,No,Yes,Yes,Yes,2,Yes,2C,No,3,2,both,0,7,Monday,Tuesday,,,Friday,Saturday,,,,,Friday,Saturday,No,No,Yes,No,Yes,Yes,2,9,High school or less,Suburban,County/rural,Friend,Good (minor health problems or injuries),4,Resident Junior,,,,,1,,,,,,,,,,,,
20,5,No,1,private,No,2,Yes,KY,No,Strongly Disagree,Strongly Agree,Yes,2C,More than 15 days,No,1,private,vertical bow.,No,Yes,Yes,Yes,Yes,0,Yes,2C,No,0,20,private,2,10,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,Yes,Yes,No,Yes,0,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),20,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
5,0,No,0,public,No,0,No,,No,Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,2,public,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,1,7,College graduate,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Junior,,,,,1,,,,,,,,,,,,
46,5,No,0,private,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,200,private,0,9,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,Yes,No,No,Yes,0,13,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,Yes,,,,,,,,,,,,,,,
35,5,No,0,private,No,5,Yes,CO,No,Agree,Neither Agree nor Disagree,Yes,2A,3-5 days,No,0,private,crossbow,No,No,Yes,Yes,No,65,Yes,2C,No,0,0,public,0,0,Monday,,,,,,Monday,,,,,,No,No,No,Yes,No,Yes,25,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Adult,,,,,,,,,,,,,,,,,
4,1,No,0,public,No,0,No,,No,Disagree,Strongly Agree,No,,,,,,,,,,,,,No,2C,No,1,3,public,0,0,Monday,,,,,Saturday,Monday,,,,,Saturday,No,No,No,No,Yes,Yes,15,12,High school or less,Rural town/village,Rural town/village,Relative,Excellent (no health problems or injuries),,Resident Junior,,,,,1,,,,,,,,,,,,
13,5,Yes,0,private,No,8,No,,No,Disagree,Agree,Yes,2C,11-15 days,No,0,private,vertical bow.,No,Yes,Yes,Yes,No,10,Yes,2C,Yes,0,5,private,0,4,Monday,,,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,No,10,12,College graduate,Country/rural,County/rural,Relative,Excellent (no health problems or injuries),13,Resident Adult,Yes,,,,1,,,,,,,,,,,,
30,3,No,0,public,No,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,No,2C,No,0,1,public,0,0,,,,,Friday,Saturday,,,,,,,No,No,No,No,No,No,40,18,College graduate,Suburban,City,Friend,Good (minor health problems or injuries),,Resident Adult,Yes,,,,1,,,,,,,,,,,,
53,5,No,1,private,No,2,No,,No,Disagree,Agree,Yes,2B,6-10 days,No,0,private,crossbow,No,Yes,No,Yes,Yes,40,Yes,2C,No,1,5,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,No,No,Yes,No,40,14,College graduate,Country/rural,Suburban,Parent or Grandparent,Good (minor health problems or injuries),8,Resident Senior,,,,,1,,1,,,,,,,,,,
35,5,No,0,both,No,1,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,10,both,0,15,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,No,Yes,No,Yes,Yes,1,15,Some college/vocational training,Country/rural,City,Friend,Good (minor health problems or injuries),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
47,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,2,private,0,0,Monday,Tuesday,,,,Saturday,,,,,Friday,Saturday,No,No,No,No,No,No,20,10,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
40,5,No,0,public,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,5,public,0,3,Monday,,,,,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,15,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
56,5,No,1,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,6-10 days,No,0,private,crossbow,No,No,,Yes,Yes,5,Yes,2C,Yes,0,4,private,3,0,Monday,Tuesday,Wednesday,,,Saturday,,Tuesday,Wednesday,,,Saturday,No,Yes,No,Yes,No,Yes,5,12,Some college/vocational training,Rural town/village,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),8,Resident Senior,,,,,2,,,,,,,,,,,,
38,5,Yes,0,private,No,0,No,,Yes,Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,Yes,0,0,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,Yes,No,Yes,Yes,1,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
38,5,No,1,both,No,2,No,,Yes,Strongly Agree,Disagree,Yes,2C,11-15 days,No,1,private,crossbow,No,No,Yes,No,No,50,Yes,2C,No,0,15,private,0,8,,,,,Friday,Saturday,,Tuesday,Wednesday,,,Saturday,No,No,Yes,No,Yes,No,50,13,College graduate,Suburban,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),13,Resident Adult,Yes,,,,1,,,,,,,,,,,,
40,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,3-5 days,No,0,private,vertical bow.,Yes,Yes,No,No,No,40,Yes,2C,No,0,5,private,0,1,Monday,,,,,Saturday,,,,,Friday,Saturday,Yes,Yes,No,No,No,No,40,12,College graduate,Suburban,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),4,Resident Adult,,,,,,,,,,,,,,,,,
9,5,No,0,public,No,0,No,,No,Agree,Disagree,No,,,,,,,,,,,,,No,2C,No,0,0,public,0,0,,,Wednesday,,,,,Tuesday,,,Friday,,No,No,No,No,No,No,26,14,College graduate,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
54,5,No,1,private,No,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,1,3,private,0,0,Monday,Tuesday,,,Friday,Saturday,,,,,,Saturday,No,Yes,No,Yes,Yes,Yes,0,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,,,,,,,,,,,,,,,,
16,1,No,0,private,No,0,No,,No,Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,No,2C,No,0,0,private,0,0,,,,,Friday,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,2,14,Some college/vocational training,Country/rural,County/rural,Relative,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
18,5,No,0,both,No,0,No,,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,2,both,0,0,Monday,Tuesday,,,,Saturday,,,,,,Saturday,Yes,No,No,No,No,No,70,21,College graduate,Suburban,Suburban,Friend,Excellent (no health problems or injuries),,Resident Adult,,,,,,,1,,,,,,,,,,
